symbol,name,timestamp,fetched_at,market_status,price,marketCap,pe,eps,changesPercentage,yearLow,yearHigh,dividendYieldTTM,volume,avgVolume
LLY,Eli Lilly and Company,2026-06-08 20:01:00 UTC,2026-06-09 03:29:33 UTC,after_hours,1149.15,1082201670150.0,40.79,28.17,1.56706,623.78,1182.73,0.00562155,4496774.0,3157785.0
UNH,UnitedHealth Group Incorporated,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,406.57,369224270334.0,30.66,13.26,1.77735,234.6,408.71,0.02174287,6257680.0,8201622.0
JNJ,Johnson & Johnson,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,232.16,558859491987.0,26.87,8.64,-0.26206,149.04,251.71,0.02257064,7529093.0,7665731.0
WMT,Walmart Inc.,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,119.83,953616726400.0,42.19,2.84,0.79913,93.43,135.16,0.00805308,19478693.0,20380293.0
HD,"The Home Depot, Inc.",2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,closed,309.71,308817007582.0,22.0,14.08,-0.34429,289.1,426.75,0.02989894,4350026.0,4472041.0
PG,The Procter & Gamble Company,2026-06-08 20:01:33 UTC,2026-06-09 03:29:33 UTC,after_hours,145.1,337879711708.0,21.21,6.84,-0.98267,137.62,167.25,0.02935148,7185530.0,9475938.0
XOM,Exxon Mobil Corporation,2026-06-08 20:00:47 UTC,2026-06-09 03:29:33 UTC,after_hours,151.75,628996162500.0,25.55,5.94,1.22065,105.53,176.41,0.02688633,13844305.0,20054307.0
CVX,Chevron Corporation,2026-06-08 20:01:18 UTC,2026-06-09 03:29:33 UTC,after_hours,189.24,376890384000.0,33.03,5.73,1.03038,141.91,214.71,0.03688438,6099190.0,11655923.0
KO,The Coca-Cola Company,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,closed,79.54,342219451528.0,25.01,3.18,0.07549069,65.35,82.66,0.02589892,12545820.0,14917676.0
PEP,"PepsiCo, Inc.",2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,140.68,192301252424.0,22.08,6.37,-0.87373,127.6,171.48,0.04085513,8787049.0,6628142.0
DIS,The Walt Disney Company,2026-06-08 20:01:05 UTC,2026-06-09 03:29:33 UTC,after_hours,98.87,171688884491.0,15.82,6.25,-0.84244,92.19,124.69,0.01264286,7530176.0,9259733.0
BA,The Boeing Company,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,215.92,170210167840.0,85.68,2.52,0.21815,176.77,254.35,0.0,3571463.0,7074617.0
CAT,Caterpillar Inc.,2026-06-08 20:00:02 UTC,2026-06-09 03:29:33 UTC,after_hours,915.64,421777662680.0,45.6,20.08,1.25625,355.7,946.83,0.00659648,2547764.0,2493530.0
GE,GE Aerospace,2026-06-08 20:00:03 UTC,2026-06-09 03:29:33 UTC,closed,322.04,336476943062.0,40.05,8.04,-1.81707,232.24,348.48,0.00481307,3145945.0,5881431.0
MRVL,"Marvell Technology, Inc.",2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,288.85,252685980000.0,99.6,2.9,9.63298,61.44,324.2,0.00083088108,84183793.0,32201650.0
SMCI,"Super Micro Computer, Inc.",2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,43.99,26456377820.0,23.15,1.9,5.64361,19.48,62.36,0.0,31596521.0,41822971.0
MU,"Micron Technology, Inc.",2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,949.28,1070531534400.0,44.84,21.17,9.8691,103.38,1089.29,0.000521447834,53799609.0,49393447.0
INTC,Intel Corporation,2026-06-08 20:00:01 UTC,2026-06-09 03:29:33 UTC,after_hours,110.27,554217020000.0,-183.78,-0.6,11.1929,18.97,132.75,0.0,136446915.0,124488709.0
QCOM,QUALCOMM Incorporated,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,217.77,229529580000.0,23.39,9.31,0.84746,121.99,259.92,0.01648528,16975128.0,20079038.0
TXN,Texas Instruments Incorporated,2026-06-08 20:00:00 UTC,2026-06-09 03:29:33 UTC,after_hours,290.9,264746053700.0,49.81,5.84,2.04869,152.73,331.51,0.01931935,7789450.0,7496623.0
